station_id,station_name,temp,latitude,longitude,avg_trip_count,day_count,coords_x,coords_y
141,Clark St & Lincoln Ave,50.0,41.9157,-87.6346,37.90604026845637,149,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,55.0,41.9157,-87.6346,52.333333333333336,105,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,60.0,41.9157,-87.6346,69.00680272108843,147,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,65.0,41.9157,-87.6346,77.95031055900621,161,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,70.0,41.9157,-87.6346,93.55251141552512,219,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,75.0,41.9157,-87.6346,94.45982142857143,224,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,80.0,41.9157,-87.6346,91.11538461538461,104,-9755439.047872212,5148360.0654110275
142,McClurg Ct & Erie St,30.0,41.8945,-87.6179,22.431818181818183,88,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,35.0,41.8945,-87.6179,21.872881355932204,118,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,40.0,41.8945,-87.6179,24.234234234234233,111,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,45.0,41.8945,-87.6179,29.340425531914892,94,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,50.0,41.8945,-87.6179,35.59047619047619,105,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,55.0,41.8945,-87.6179,41.78260869565217,69,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,60.0,41.8945,-87.6179,46.92307692307692,104,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,65.0,41.8945,-87.6179,55.49523809523809,105,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,70.0,41.8945,-87.6179,62.119496855345915,159,-9753580.012375966,5145189.13281262
142,McClurg Ct & Erie St,75.0,41.8945,-87.6179,65.23076923076923,169,-9753580.012375966,5145189.13281262
